fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,QualityBins,Price range,PH Ratio,Alcohol content
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,Medium,Medium,0.432098765,Medium
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,High,Low,0.443037975,Medium
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,Low,Low,1.345565749,Medium
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,Low,Low,1.353846154,Medium
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,Medium,Low,2.364217252,Medium
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,Low,Low,1.488095238,Medium
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,Medium,Low,0.47761194,High
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,High,Medium,0.329341317,Medium
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,High,Expensive,0.331325301,Medium
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,Medium,Low,0.302114804,Medium
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,Medium,Medium,0.295081967,Medium
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,Medium,Medium,0.415335463,Medium
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,Medium,Medium,3.851132686,Medium
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,Medium,Expensive,3.757575758,Low
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,Medium,Expensive,1.479099678,Medium
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,Medium,Low,0.357142857,Medium
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,Medium,Medium,1.617161716,Low
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,Medium,Expensive,3.757575758,Low
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,Low,Expensive,0.364238411,Medium
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,Medium,Medium,1.479099678,Medium
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,Medium,Low,0.444444444,Medium
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,Low,Medium,0.372670807,Medium
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,High,Expensive,1.98757764,High
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,Low,Low,0.382165605,Medium
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,High,Medium,0.630630631,Medium
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,Low,Medium,3.226837061,Medium
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,Medium,Low,2.516129032,Low
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,Low,Low,1.385542169,Medium
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,Low,Medium,1.300813008,Medium
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,Medium,Low,0.338983051,Medium
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,High,Medium,0.630630631,Medium
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,Low,Expensive,3.226837061,Medium
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,High,Low,0.429447853,High
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,High,Low,0.392749245,High
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,Low,Medium,2.993197279,Medium
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,Low,Low,1.651376147,Low
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,Medium,Medium,0.412979351,Medium
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,Medium,Low,4.984423676,Medium
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,Low,Medium,1.924290221,Medium
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,Medium,Expensive,2.462462462,Medium
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,Low,Medium,3.794212219,Low
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,Medium,Expensive,3.782051282,Low
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,Medium,Medium,3.55987055,Low
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,Medium,Expensive,4.130434783,Medium
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,Low,Medium,3.794212219,Low
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,Medium,Expensive,3.782051282,Low
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,Medium,Medium,3.55987055,Low
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,Low,Expensive,2.403846154,Low
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,High,Expensive,0.521472393,High
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,High,Expensive,0.553846154,High
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,High,Expensive,0.529595016,High
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,Medium,Medium,4.078947368,Medium
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,Medium,Expensive,5.063694268,Low
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,High,Expensive,0.406779661,High
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,Low,Medium,3.633217993,Medium
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,Medium,Medium,5.063694268,Low
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,Low,Medium,4.5,Medium
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,Low,Medium,2.823529412,Medium
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,Low,Medium,3.622754491,Medium
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,Low,Medium,6.321070234,Low
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,Low,Medium,4.5,Medium
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,Medium,Medium,4.5,Medium
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,Low,Medium,2.823529412,Medium
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,Medium,Medium,5.221518987,Medium
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,Medium,Medium,5.221518987,Medium
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,Low,Low,0.397553517,Medium
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6,Medium,Medium,2.941176471,Low
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,Low,Medium,6.167763158,Low
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,Low,Medium,4.418604651,Medium
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,Low,Medium,2.857142857,Medium
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,Low,Low,2.857142857,Medium
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,Low,Expensive,0.41322314,Medium
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,Medium,Expensive,0.996978852,High
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,Medium,Medium,0.532915361,High
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,Low,Medium,4.418604651,Medium
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,Low,Medium,4.375,Medium
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,Low,Medium,1.770186335,Medium
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,Low,Medium,4.053156146,Low
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,Low,Medium,2.082066869,Medium
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6,Medium,Low,1.519756839,Medium
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,Medium,Medium,0.498442368,Medium
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,Medium,Expensive,0.336391437,Medium
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5,Low,Medium,2.229299363,Medium
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,High,Medium,2.202898551,Medium
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,High,Medium,0.848484848,Medium
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,Medium,Expensive,0.81570997,Medium
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,Low,Medium,3.067846608,Medium
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,High,Medium,2.202898551,Medium
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,Low,Medium,4.055727554,Low
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,Low,Medium,4.87654321,Medium
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,Low,Medium,2.539184953,Low
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,Low,Expensive,4.81595092,Medium
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,Medium,Expensive,0.384615385,Medium
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,Low,Medium,3.32278481,Low
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7,High,Medium,0.603174603,Medium
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,Medium,Expensive,0.588235294,High
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,Low,Expensive,0.666666667,Medium
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,Low,Medium,3.32278481,Low
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,Medium,Medium,0.373831776,Medium
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6,Medium,Medium,1.352201258,Medium
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,Medium,Expensive,0.641025641,High
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,Medium,Expensive,0.366666667,Medium
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,Medium,Medium,0.426829268,Medium
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,Low,Medium,1.538461538,Low
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,High,Medium,1.360946746,High
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,Medium,Expensive,1.371237458,Medium
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,High,Medium,2.564102564,High
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6,Medium,Medium,3.248407643,Medium
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,Medium,Medium,1.371237458,Medium
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,Low,Low,0.382165605,Medium
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,Medium,Low,2.450980392,Medium
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,Medium,Low,4.844290657,Low
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,Medium,Expensive,4.844290657,Low
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,High,Expensive,0.455927052,High
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,High,Expensive,0.416666667,High
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,High,Expensive,0.416666667,High
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,High,Medium,0.455927052,High
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5,Low,Medium,4.865771812,Medium
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,Low,Low,1.463414634,Medium
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,Medium,Medium,4.844290657,Low
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,Low,Medium,4.158730159,Medium
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,Low,Medium,4.113924051,Medium
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6,Medium,Expensive,2.770700637,Medium
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,High,Medium,0.779220779,High
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,Low,Expensive,2.905844156,Medium
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,Low,Low,3.432055749,Medium
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,Medium,Expensive,0.480769231,High
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,Medium,Expensive,0.479233227,Medium
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,Low,Expensive,0.264026403,High
6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7,High,Low,1.358208955,High
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,Low,Expensive,5.72815534,Medium
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,Medium,Expensive,2.411575563,High
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,Low,Medium,1.683168317,High
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,Low,Medium,3.932926829,Medium
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,Low,Low,0.38585209,Low
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,Medium,Low,1.724137931,Medium
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,Medium,Medium,1.724137931,Medium
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,Low,Medium,0.388349515,Medium
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,Low,Medium,7.508532423,Low
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6,Medium,Low,4.402515723,Medium
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,Low,Low,3.940397351,Medium
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5,Low,Low,3.940397351,Medium
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,Medium,Medium,3.012820513,Medium
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,Low,Medium,1.333333333,Medium
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,High,Medium,1.165644172,High
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,Low,Medium,2.750809061,Low
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,Medium,Medium,2.750809061,Low
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,Low,Expensive,7.508532423,Low
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,Medium,Medium,2.649006623,High
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,Low,Low,1.517857143,Medium
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,Low,Low,1.19205298,Medium
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6,Medium,Low,1.158940397,Medium
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,Low,Medium,1.196013289,Medium
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,Low,Medium,2.49201278,Low
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,Low,Medium,4.225806452,Low
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,Low,Medium,2.49201278,Low
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,Low,Medium,5.111111111,Medium
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,Low,Medium,4.225806452,Low
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5,Low,Medium,4.125,Medium
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,Medium,Medium,4.174174174,High
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,Low,Expensive,0.701219512,Medium
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5,Low,Expensive,3.682539683,Low
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,Low,Medium,2.585669782,Medium
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,Low,Low,2.073578595,Medium
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,Low,Low,0.662650602,Medium
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6,Medium,Expensive,0.279503106,Medium
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,Low,Medium,2.930513595,Medium
6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7,High,Expensive,0.421686747,High
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,Low,Medium,2.585669782,Medium
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6,Medium,Expensive,1.540697674,Medium
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,High,Expensive,0.424242424,High
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,Low,Expensive,2.779456193,Medium
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,Low,Expensive,2.310231023,Medium
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,Low,Expensive,2.779456193,Medium
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,Low,Expensive,5.287009063,Medium
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,Low,Expensive,2.302631579,Medium
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,Low,Low,2.310231023,Medium
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,Medium,Expensive,3.166666667,Medium
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,High,Expensive,0.424242424,High
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6,Medium,Medium,0.233918129,Medium
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6,Medium,Medium,0.530973451,Medium
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,Low,Medium,5.361445783,Low
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,Medium,Medium,0.685714286,Medium
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6,Medium,Medium,3.249211356,Medium
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,Medium,Medium,0.685714286,Medium
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,Low,Low,5.361445783,Low
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4,Low,Medium,2.878338279,Low
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6,Medium,Medium,2.335329341,Medium
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6,Medium,Medium,2.356495468,Medium
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,Medium,Medium,4.627831715,Low
